,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
CZ010 - Prague,0.0,0.17049069849676404,0.19643493690339178,0.2146613411864654,0.3304952242089782,0.22050075965130403,0.2329219934716376,0.22911300622801714,0.22742232788946898,0.2278019970365485,0.17494385842479934,0.2103053697899827,0.22804759405535946,0.19270769552235503,0.17618031904949202,0.18589501288764138,0.17314753892091597,0.1952401956552405,0.2189062817783603,0.18816573271684855,0.2094930051032026,0.1900048151842418,0.1920731978971472,0.1688141958781952,0.19410758314817478,0.21371697524396957,0.18417478177148003,0.19181810409478103,0.18491093341299733,0.17350618325229636,0.16461633648842536,0.1904347271448654,0.23200509417113777,0.20287193906263196,0.2195567192640949,0.2268463970480301,0.19799479056997016,0.24250403737382403,0.2427464440115855,0.3783697520329678,0.26124947341862176,0.16448747255549312,0.2033056360176334,0.1644157169022869,0.230831905170854,0.22730938608967338,0.2376679981246453,0.24276839807032588,0.28550979617972816,0.21897220741760737,0.2388251858969897
CZ020 - Central Bohemian,0.17049069849676404,0.0,0.19669011019139707,0.21444900368355355,0.3335084662498794,0.20389422411491734,0.2220537389308553,0.23317327152297754,0.22221990131622246,0.2272993357146416,0.17250574773556684,0.20857598919554815,0.2289798852748663,0.19182200599347243,0.1888263002441723,0.1865755762061774,0.17657307567665662,0.1947100440178354,0.21577417681652716,0.1963550608819987,0.21760988898619732,0.18513306843175145,0.19215021219124268,0.17493848912774262,0.19913318976238384,0.21978668457182757,0.19736363751923844,0.19266404878091897,0.19684782368862644,0.18282175399431097,0.18970595710267588,0.2184564567240995,0.2551259283861011,0.23088650930299834,0.25330231366894945,0.2547651022439895,0.22588559806357628,0.26480091400790595,0.2721094010723079,0.39123259898594387,0.2864383851751561,0.19608623243306725,0.23143737338853046,0.19707715258432798,0.2619575679166521,0.25397589527199466,0.2612695424077917,0.2703867283286797,0.31192705659109077,0.24872664865903363,0.2647090034988279
CZ031 - South Bohemian,0.19643493690339178,0.19669011019139707,0.0,0.22785786822887757,0.3402308150387878,0.22000817961986907,0.24516625097037248,0.24591046643168504,0.23298764014067175,0.22829506539073624,0.18846680893762413,0.21784548432520837,0.2356372452925926,0.2145950738289777,0.1911131066578643,0.2038736962885367,0.20149325116132977,0.21717439703854466,0.22271598978750382,0.20679836662815856,0.2236788612329747,0.21473687612067055,0.21689563316600285,0.19897077622396891,0.20618244111072973,0.22415290587027925,0.20478512418709072,0.20370713234166538,0.2031908393953163,0.19673078726545756,0.20843002888517712,0.23138271266649615,0.26334077869245687,0.245045897090785,0.2609225177345931,0.2601324854459986,0.2385767010552697,0.2766613791415505,0.2808836297301267,0.405306148708693,0.298168226121268,0.2125657250919511,0.2466365530258925,0.21420364949251405,0.2703091950840969,0.26435229450793185,0.26871902765342437,0.2810345627954381,0.316364925259265,0.2588603040019526,0.27568974504426114
CZ032 - Plzeň,0.2146613411864654,0.21444900368355355,0.22785786822887757,0.0,0.3405378773447586,0.2389906315079819,0.24327228883708565,0.24510995258634302,0.23054828684687378,0.25736064781527884,0.21404806465624795,0.23869706525962767,0.2526205535098202,0.23201260747709826,0.2260109723396846,0.21898030773890215,0.22003677002639294,0.23812017364930196,0.24377184449489914,0.22579383293460045,0.2475381455934577,0.23505774941818502,0.23433430338331845,0.2187659922553442,0.23144455747962042,0.24597887020439468,0.22787870888091738,0.23255770817047838,0.2279191057662668,0.21988666643010352,0.23123211793982104,0.24877464334912036,0.28237180940439005,0.26213218547743317,0.28117712055172905,0.2788630173876849,0.2575056464055149,0.2854279982006614,0.29534903037695837,0.409999476914318,0.3098464996654692,0.22868169707066655,0.25989537640716825,0.23502152016520647,0.2876854583781024,0.2841497057699472,0.28212076854718265,0.2944700146877499,0.33328356841373025,0.2754739150136267,0.29134625813602405
CZ041 - Karlovy Vary,0.3304952242089782,0.3335084662498794,0.3402308150387878,0.3405378773447586,0.0,0.3400607309786857,0.34999489485324575,0.3323497844164676,0.3411703507743792,0.3485990830010302,0.3301516030797478,0.3442938325659855,0.3436849888418622,0.33484499614265145,0.33160306778197957,0.33497311781767686,0.33764327828737495,0.3462474842261333,0.35195179418873973,0.3435818649057588,0.349699699994767,0.3446826140021781,0.3432841685793091,0.3407296033759284,0.3422254166560385,0.34968961448302605,0.34484564823405506,0.34073294899589385,0.3431319093288572,0.33841487391893077,0.3542634124390429,0.36759345856220094,0.3914493283063588,0.37803775859638117,0.39046472457809067,0.38922868982680037,0.36828074117192944,0.3883244702013009,0.3988004517996661,0.49832405751747255,0.4107675988461477,0.34814134772604427,0.37064109133515283,0.35759784229745767,0.3947477417441962,0.39397318150609906,0.38878029171275,0.395348156412937,0.4276713082746555,0.38623998924284875,0.39312496357466853
CZ042 - Ústí nad Labem,0.22050075965130403,0.20389422411491734,0.22000817961986907,0.2389906315079819,0.3400607309786857,0.0,0.2425647997564781,0.25156917753448127,0.23633453210757566,0.23778604000496986,0.2040961188329775,0.22952899396956175,0.24244587474797452,0.22479276182846522,0.20924154266680903,0.2110537060294846,0.20782931846639183,0.2279523627065603,0.2281494567241306,0.21579376006249626,0.2332288622448268,0.21705654917435668,0.2252883674032412,0.2117670126641631,0.2145840248091579,0.23153897015840597,0.21880403787710379,0.21145439618977385,0.21610578946852063,0.21219143406971877,0.23476484749294002,0.2579447531710188,0.29152858381374885,0.2712453342993455,0.29170794560759084,0.28812859710261507,0.26832855501174335,0.3003629040385224,0.309324252006996,0.41953143625615524,0.3214921290210815,0.2381318218282675,0.2731474429996769,0.24219507414006264,0.30026662591671144,0.2916815263739779,0.2955388229780386,0.30557189400191015,0.3440572864188029,0.2876711979792764,0.3039133441091893
CZ051 - Liberec,0.2329219934716376,0.2220537389308553,0.24516625097037248,0.24327228883708565,0.34999489485324575,0.2425647997564781,0.0,0.2585890857142629,0.2559059124656064,0.2684349391614892,0.22542660278742527,0.246295591149388,0.2642690916339528,0.2325727897720795,0.2430457181266179,0.23997067356948337,0.23276676970797988,0.2392057051508503,0.252284780906411,0.24651052905688803,0.2588883934559244,0.23865727017130886,0.23617001360788875,0.23471614529738205,0.2465980645242066,0.26509337667014066,0.2478704015563741,0.24820489154568148,0.24541768891977211,0.2393706495000796,0.2506512831996011,0.26781442484085977,0.29867646106310236,0.2804528370149073,0.29631000118666967,0.2962373314972833,0.2734700970784753,0.3021845291135267,0.3127916715525895,0.42005012318697804,0.32364921396673135,0.2502803224400397,0.2786468274959725,0.25465013191108427,0.30366786876166424,0.3015007167691385,0.2997889264557412,0.30934822242580406,0.3474486130583053,0.29022632132935783,0.306782792929528
CZ052 - Hradec Králové,0.22911300622801714,0.23317327152297754,0.24591046643168504,0.24510995258634302,0.3323497844164676,0.25156917753448127,0.2585890857142629,0.0,0.24838911875077305,0.26651238038422537,0.22790334286068253,0.24682416503190646,0.26377335020832493,0.24359996976975526,0.23290431861365288,0.2339669144830887,0.2375206710178133,0.25271422827822193,0.2612332941854974,0.24671366471816755,0.25877645903375623,0.2523941366670734,0.2500916467305271,0.24136419961152522,0.24459751021078632,0.25645101953540217,0.24346249209778054,0.24010976380996957,0.2453722491351045,0.24017437620334417,0.2454418982363541,0.2658316225958723,0.29783666682217375,0.27793889306949915,0.2963508302560307,0.29266282665145754,0.2743664575442644,0.30169120328497273,0.31052585187960735,0.42558591311473193,0.32577135144956704,0.246087095996941,0.27611017952180594,0.24911835747018804,0.3037080870703744,0.30184949009370254,0.3005563352700932,0.3098064668551675,0.34739630405847355,0.29247030112536804,0.30921467310596285
CZ053 - Pardubice,0.22742232788946898,0.22221990131622246,0.23298764014067175,0.23054828684687378,0.3411703507743792,0.23633453210757566,0.2559059124656064,0.24838911875077305,0.0,0.25374620393557734,0.21765508241895143,0.24005172915490133,0.25500408183981194,0.2366598016251237,0.22522249633963548,0.22066042048689696,0.22559330135207215,0.24427007279373966,0.2493947060179704,0.22974156650025354,0.24397198602420964,0.24229006887706117,0.24089097582427746,0.2269550645588814,0.23165194695802022,0.2457652242341718,0.234402908799552,0.22967305655169687,0.23261526457180387,0.22543198067721465,0.24155331234707764,0.26158809830871915,0.2945941688827881,0.27415277422291306,0.2924686946695669,0.2907171427500526,0.26766484671751606,0.29971056354734854,0.30842991840189093,0.4158257488015032,0.31829254903422205,0.2415231146133502,0.2728591940287983,0.24688335483333468,0.29751745662650736,0.29434878388089325,0.29158330299476515,0.30539676535997373,0.343633120767784,0.2864990031358764,0.30085279187246433
CZ063 - Vysočina,0.2278019970365485,0.2272993357146416,0.22829506539073624,0.25736064781527884,0.3485990830010302,0.23778604000496986,0.2684349391614892,0.26651238038422537,0.25374620393557734,0.0,0.2133691936046949,0.23002872667793647,0.23244997221549143,0.231592170166626,0.20880619644553158,0.22811807689516153,0.21893423076214819,0.2354883308834361,0.24321639853443025,0.22538067008246027,0.2339539367537175,0.2311012204290439,0.2311239728846938,0.2196432344311777,0.22445767602910496,0.23280303082039888,0.22279863758116622,0.2171980946291097,0.22801739523205866,0.2194537778556401,0.2320608122115453,0.25602734514734315,0.2876658042613898,0.2695709807829915,0.2878597130214068,0.2815458374246477,0.26523583959503527,0.29660934759676477,0.2996179361543273,0.4148543587445159,0.31311406284056204,0.2365601424001424,0.2657793282818517,0.2410963497317335,0.2917199708361943,0.28606934219631863,0.28248201574273785,0.3013462486105096,0.3373114836046368,0.2804283459147253,0.2967703597873368
