,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
CZ010 - Prague,0.0,8.87417247008326,12.290913922880659,13.948356217874784,48.336532046536284,13.457980134834477,11.95282662069328,19.603437894297436,12.265551078903458,19.73821639306757,9.719161436711905,10.721909395105254,19.02605033249415,14.288618959976406,16.820119716072014,20.696747193925905,12.578204548377787,13.03626311570511,14.584522828798093,14.879769271024058,18.109740149923702,11.955562875489179,11.404068666073053,8.65311439545962,13.610645572950297,17.188694348240748,18.42109830470175,17.172876714212528,13.822690657276805,13.888123513295785,17.995260469497744,19.59189726001676,17.86594524144853,18.827464379753458,20.674541360523992,22.321584874210075,16.814487803624477,21.616923860484174,23.231265764653262,24.672983937672036,22.61504993710065,16.44766476108128,17.201173344434896,16.732689857018894,16.477156620963644,20.58162445846358,17.976843272704365,24.86486482151591,21.996556945822885,18.092345150106496,16.978021565489957
CZ020 - Central Bohemian,8.87417247008326,0.0,11.653307564961883,12.321396582642205,45.84627866233748,10.169201669306881,9.656633717679384,14.867049349938588,11.98377850437674,18.663724765277017,8.994167228302063,10.673593783579586,14.505425875043773,11.032237879475117,13.863857516704218,19.62966956783226,13.509173109350336,15.507353149313637,10.425668839040753,13.048958349506858,17.876369476514913,10.591079305991247,9.906378347678876,9.549470274502628,14.329308305581746,14.643461709663717,13.900473847251373,14.867324050616267,11.3601727506827,11.267998651482655,19.61304174893988,21.279921431931534,18.503551599367302,19.90268606950854,22.362565532438765,23.25446563744576,19.285577837233003,24.0880138940927,25.70235579826179,26.682756069061895,23.69027162685573,18.172485868974874,19.672263378043425,18.6667656006895,19.61992325911019,23.05271449207211,19.052064962459447,27.335954855124434,23.684581117737658,18.729951508025273,18.361822930910847
CZ031 - South Bohemian,12.290913922880659,11.653307564961883,0.0,19.335627058248903,49.640187135901634,9.634244867925503,13.724383510564234,22.404037099343608,15.347176873136144,10.936795979529164,6.587676836203858,9.322559307257562,13.828212232029028,11.937867348285868,12.64714374464348,16.942633087390995,11.896742592413787,13.894922632377089,8.597198721591077,11.43652783257031,16.263938959578365,12.809797872815906,14.346763908408615,13.054275066035421,12.296611488581323,13.049237098182868,11.059725461107693,11.901115221566224,9.799916677122575,9.655568134546106,26.812519099949874,26.476397177273935,30.156859164329187,25.837564645555545,26.34146285515707,32.3629520503421,25.78749573014988,24.813661247976736,28.51301014075946,29.474248231278402,25.491251246194764,24.544481904313553,27.83632510984498,26.719501242998,28.768070543844303,28.24776765729374,27.763151662522777,32.45927234251395,33.877828005599,30.38325907298716,23.318988521362098
CZ032 - Plzeň,13.948356217874784,12.321396582642205,19.335627058248903,0.0,38.00389803097607,12.058595018471243,10.051501756809868,16.65586035341621,9.9476768033701,20.788764526196964,15.82593205265865,22.994990366221792,19.784350826996075,18.288422594687617,23.951401784754268,22.56408809075736,23.97537788003257,24.380022444003806,18.451207168201314,24.02849803377878,26.921091147525676,20.780009012752583,18.790353155233106,19.929743126794065,26.65070488822395,24.11368465536483,22.1658146541222,20.15275851986008,19.309716554624526,19.533468871124306,27.663098105069626,26.094946551943185,26.745126408858184,32.22408265215074,31.24808588428199,29.229117531973888,27.10905380371126,31.911489860570956,33.52583176474005,34.50623203554015,36.011668209497934,29.84428303347857,28.851555422438192,29.63002886001411,28.356631976683573,32.05655585407861,31.37346154510165,35.15943082160269,34.6041888369141,26.97152631751615,30.374639837887244
CZ041 - Karlovy Vary,48.336532046536284,45.84627866233748,49.640187135901634,38.00389803097607,0.0,47.83850390881802,47.04358138810224,30.979229312398896,38.65308968790021,58.79266255717303,53.06086147321853,52.75994386007667,55.287133101396876,52.39552311593864,55.77420533343088,53.48516014357099,55.45876789956591,49.42253989328378,52.331879987149996,54.304498992046504,54.057710019684905,51.863998230407006,48.64270682479269,52.478173382179534,52.981742534241086,55.78275880332903,52.89293161761302,51.02347364460401,47.32445679261596,51.34676422948873,56.7038151523543,55.06727846515786,60.37464012184657,57.68111528653285,63.55128764842226,55.5704527555408,52.59512925932632,55.80693796169957,60.65008581837859,64.04756659438745,55.75486252811244,57.10866606705932,60.55844988682091,57.16430812044734,54.02257514260263,54.408068867389,53.70888489654052,59.10313320028426,55.54679914381976,53.94465593214181,55.9255094217647
CZ042 - Ústí nad Labem,13.457980134834477,10.169201669306881,9.634244867925503,12.058595018471243,47.83850390881802,0.0,12.561905363360946,16.85927459641912,9.502340654307778,10.954158648355014,9.80316382657364,15.48848170629863,15.782480104644499,12.882380623609329,16.444893124831108,15.0575794308342,16.635043540306157,17.944347007971153,12.627063233927593,16.52198937385562,20.29380347191488,13.273500352829423,15.852932122661713,14.560443280288519,19.14419622830079,16.60717599544167,15.089589973444209,12.646249859936919,13.777606746082668,14.253994804904528,27.789754727348683,28.26607238794063,27.02819802325171,26.14237510218655,29.34871648844786,29.234290909264626,25.288991253509717,29.148951824731192,30.019178355012556,30.9804164455315,28.505159549574774,25.096463188280804,24.707663968767505,26.488146500206096,25.639409402766827,25.470148487472077,24.6344905214453,29.753388850524402,30.74916686452152,27.385445513656492,23.8596796410288
CZ051 - Liberec,11.95282662069328,9.656633717679384,13.724383510564234,10.051501756809868,47.04358138810224,12.561905363360946,0.0,17.15064202688861,16.621649458676693,14.493073051491688,13.632038182602015,17.729966349730926,17.030198351187337,16.803753554285006,20.202664442779863,20.6012931919904,19.84798003542598,21.84616007538928,16.54843616460327,19.387765275582503,24.215176402590558,15.514984996261717,15.750136857370158,15.888277200578273,21.385680871733083,18.848660638873962,19.010962904119886,16.366657303513175,17.698979676758345,17.606805577558298,23.81435527933945,27.662375046067186,22.29376888184255,26.95905863565988,28.745019146574418,27.744448491571276,25.624384763308647,30.426820820168345,32.04116272433743,33.02156299513754,30.746644193007068,24.579259016987702,26.01107030411907,25.005572526765146,24.11585124626036,29.391521418147754,26.108437528610786,33.674761781200075,30.06703473187331,23.97421520838688,25.10961582139638
CZ052 - Hradec Králové,19.603437894297436,14.867049349938588,22.404037099343608,16.65586035341621,30.979229312398896,16.85927459641912,17.15064202688861,0.0,15.604746248580991,27.813433244774135,22.081632160819638,21.78071454767777,26.62572660739593,21.41629380353974,25.474181774865784,24.21608632797654,24.47953858716702,20.169048567989044,21.3526506747511,23.325269679647604,26.54781890810679,20.884768918008113,23.422508102831873,21.498944069780638,22.491054819816352,24.803529490930135,21.913702305214123,22.08936727011593,18.187073859922847,21.95358301405898,27.430515832480758,25.402393541349927,29.395410809447668,27.342926009820165,32.57205833602336,27.34632317951089,27.30141932874994,26.95254811370914,29.6708565059797,33.068337281988555,31.130511567167353,26.12943675466042,29.57922057442201,26.185078808048438,26.93339405472097,30.71132888707673,26.49230490277107,28.386410166105307,29.723032194583517,25.72135252800691,25.493483195556664
CZ053 - Pardubice,12.265551078903458,11.98377850437674,15.347176873136144,9.9476768033701,38.65308968790021,9.502340654307778,16.621649458676693,15.604746248580991,0.0,20.45649930266279,14.862671307929146,21.863923172727965,19.568866381188464,20.20011458912107,22.82033459126044,21.433020897263532,22.844310686538744,23.24895525050998,14.704259357485613,22.897430840284954,25.79002395403185,19.648941819258756,17.65928596173928,18.79867593330024,25.519637694730122,22.982617461871,21.034747460628374,19.021691326366252,18.1786493611307,18.40240167763048,26.5320309115758,23.82249228606582,24.6725159355922,31.093015458656918,30.117018690788164,27.722990989779063,24.1102472160539,27.22180210349219,30.472169003221744,29.816544278461386,34.88060101600411,28.71321583998474,27.720488228944365,28.498961666520284,27.225564783189746,30.925488660584783,30.242394351607825,30.469743064523925,33.47312164342027,25.562109104993407,29.243572644393417
CZ063 - Vysočina,19.73821639306757,18.663724765277017,10.936795979529164,20.788764526196964,58.79266255717303,10.954158648355014,14.493073051491688,27.813433244774135,20.45649930266279,0.0,11.952317648349574,11.930468530568408,10.480907763342453,18.898982497852643,13.09010121133555,18.037236382226844,17.53379437859481,22.68986768387819,12.897036706796747,16.559703097223434,16.53224143366587,19.666297024970177,24.347455218631847,23.054966376258655,12.55371656152308,12.837601222619684,15.896262495838268,12.917259612807726,15.181075351562981,18.189415777963365,36.28427782331882,30.934088612237534,31.737677682646655,33.383142992953275,36.213251349324295,33.94377056865957,33.78351434947985,26.394479766294204,38.51370145098269,39.474939541501634,35.491942556417996,33.59098628425094,32.8554907013355,34.98266959617623,31.42246354086815,33.28011653588561,31.121015673176206,34.04009086083142,35.458646523916464,35.87996860962663,32.354202736998936
