,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
CZ010 - Prague,0.0,8.873950807815476,14.530992413261949,17.26919077840955,52.812883585986,15.84506519824916,14.971563541590886,22.234247644901615,15.226307675207131,21.709522549128398,11.168337860710885,13.814285031187076,20.248772839851107,18.07030099140945,14.834511756554932,23.61431689697327,12.353068618938387,12.326057390033125,15.929460009643226,16.80284972939545,20.147853766332968,13.969837849473368,12.560276280579554,8.301574829461256,19.140803763336304,20.95670374714723,20.09031637184505,15.894123470403137,16.117828466475093,15.728969713770294,21.790087982598777,22.18459521708666,17.92041839495633,18.103555785718765,19.225297328173397,21.157174148763847,18.452635091248318,22.102821657380982,19.207523490186276,25.451778506828077,23.423690535374973,17.940498513827265,19.02982388446878,18.220595022370638,15.390612630893038,16.75217335575484,16.504629969418584,17.9781895692368,17.059090666497518,17.31267750467301,13.628973206347833
CZ020 - Central Bohemian,8.873950807815476,0.0,12.122037848919959,14.223578381678138,48.99197926400054,12.389589108144413,12.392993994633336,16.90129305431513,12.325134616960568,19.670325657141348,8.254175841667834,11.405330466845086,16.346594672029024,14.056262938451205,15.659640472463185,21.617407086288647,15.312642008709663,14.745870221542269,11.13225794977745,12.984206404853591,17.855336640837827,11.716059810078328,10.353434474938048,11.733662384516911,15.165132577922037,16.54536883711647,16.188138204022966,13.263256077751322,10.501992542886548,11.43580274246995,26.229146933333872,25.333065126138514,19.653873971778417,22.54261473645386,22.373767237225252,23.566128713105837,22.891694041983413,26.541880608116077,23.64658244092137,29.890837457563173,26.324863593621536,22.37955746456236,23.468882835203875,22.38719512812551,17.799567195235028,21.191232306489937,17.628623434651725,22.417248519971896,20.207560575549373,19.721632069015,16.530146264594396
CZ031 - South Bohemian,14.530992413261949,12.122037848919959,0.0,19.735168867281793,50.883921393321074,10.222643547291963,14.996767207931008,20.2829186703632,14.993002741893086,9.422187666799466,6.769794701961942,8.961357808305806,13.569006867103159,13.711011350673406,14.156305694627786,18.900518915960262,13.780443966880366,13.213672179712972,9.140320090860058,12.855671347815015,16.32313859900853,12.578766083653882,15.421900851521197,15.709245897053464,12.86687032322433,14.526452493424333,11.800047975797824,13.750292422775928,9.130182325376762,9.19145578058254,33.75618062812488,31.70898703945896,31.775911820698376,27.87405764915588,29.10599707881983,35.6881665620258,28.687002649302656,28.198731214602773,28.636249560763815,29.446778659718355,25.093590031774575,28.70963864033512,30.987888762218795,30.16641696052167,29.921605044154987,28.853415346993312,27.425549691865225,30.66798586656937,31.274488527237033,31.84366991793496,24.97187170630561
CZ032 - Plzeň,17.26919077840955,14.223578381678138,19.735168867281793,0.0,38.39664490872664,10.35149710614943,11.233197752062182,16.833115115459872,7.404951918313646,21.65531160424601,18.849510196941733,22.375285522060118,21.554791840801048,18.38006980431457,27.441812645215446,22.577490014196034,26.236558524852963,24.749009014291225,20.67565692543831,23.70878573711515,27.858475433586783,22.288774806437615,21.398475085805675,24.38011424519901,23.51896190052046,23.220080561984364,24.289094176809282,24.190553737459595,20.505131335635504,21.2876331580993,37.24192738322451,34.309898107699915,28.686865037922054,33.834704001280926,34.52689034344101,34.35812036601413,32.89483283473237,36.54501940086503,33.64972123367033,39.89397625031213,40.548441975299674,34.77777198162214,34.07109665610936,35.34534646229534,29.40935941060321,32.583423973536554,31.852201816329863,32.42038731272085,33.89276638685328,30.44236021358889,30.753724646272534
CZ041 - Karlovy Vary,52.812883585986,48.99197926400054,50.883921393321074,38.39664490872664,0.0,48.74814201487607,48.94487569359849,32.23667961590123,41.628040102114475,59.74678627233395,57.24615510566838,54.19763139381032,55.929176566171925,54.15124453396936,60.28157493280648,53.98856405213989,58.90703797132148,52.63649145091091,54.62004488988583,56.51506926631798,56.023152679284635,54.55627383830651,53.031070633688884,57.44333542696322,52.531264576251225,56.552210566456644,55.614700949755225,57.86245193870484,49.20440837784897,54.520073191251406,69.05354992762366,67.59285149450245,63.441571464192435,64.0959995257662,66.83486510499816,62.35026977810723,60.74930510135071,61.575955665176984,62.77766624559037,65.17213330293811,59.37093803148174,63.927124097723016,66.94960535226691,64.83376145384364,55.01563386021952,57.965318974545426,56.52475095478193,59.10166559073724,58.992454605602894,59.84622669164979,55.136446948867984
CZ042 - Ústí nad Labem,15.84506519824916,12.389589108144413,10.222643547291963,10.35149710614943,48.74814201487607,0.0,10.162388628857684,16.511462398974842,9.733887088989732,13.010367870405549,11.520563681147152,16.05882412100477,16.39970384591435,11.699011270937195,21.125351244160097,16.261028613140684,20.093478647804616,18.749312707829457,13.994598392060936,17.3923243360598,21.341213037361698,15.972313405382266,17.20004501878186,18.06365284414366,17.20250049946511,16.903619160929015,17.972632775753933,17.874092336404246,16.292134289750507,16.13054688892214,35.534324795385544,35.65385987867178,29.328325337374544,30.13547555151708,32.69456198975852,33.24058007870197,29.252083737371848,30.43072368242444,30.41439372802448,33.212917716934754,34.231980574244325,31.01178363575813,29.230197502435786,31.586714520173217,27.474018560831155,26.40582886366948,25.535740415274514,28.22039938324554,30.52835532808264,29.743645031499074,24.437263245217185
CZ051 - Liberec,14.971563541590886,12.392993994633336,14.996767207931008,11.233197752062182,48.94487569359849,10.162388628857684,0.0,18.534049232017768,13.810173325046332,15.14916666411823,12.98500579682743,17.465651390776273,18.464832488142388,15.29011045165591,22.57281991255348,21.771515167148085,22.22582144879996,21.659049661632565,17.58569757277965,18.799151605831305,24.768516080928123,17.37914067515377,17.266613915028344,19.470480113915166,18.609327769236614,18.31044643070052,20.17096579690134,20.187248126014552,17.415171982976844,17.636833262502133,33.14232637342417,33.50834827054226,24.851195829708065,29.455794176544156,30.549050381628994,29.818071289053776,29.80487348207371,33.45506004820638,30.559761881011667,36.80401689765347,35.63880784401583,29.86813785033829,30.38206227529417,30.435712331011494,24.499725279319364,28.104411746580233,26.94256768504602,29.33042796006219,28.98313225556944,26.24838814270372,25.84409051498869
CZ052 - Hradec Králové,22.234247644901615,16.90129305431513,20.2829186703632,16.833115115459872,32.23667961590123,16.511462398974842,18.534049232017768,0.0,16.296276789691795,27.51010665643272,25.009475489767144,21.960951777909088,24.605244172377688,21.914564918068127,28.044895316905244,23.30572036137862,26.670358355420248,21.21119234079464,22.3833652739846,24.27838965041675,25.004442942876246,22.319594222405275,23.939593943950236,25.206655811061992,20.294584960349994,24.315530950555413,23.378021333853994,25.625772322803602,18.855443664536043,22.283393575350175,36.816870311722425,35.35617187860123,31.204891848291204,31.859319909864976,34.598185489096934,30.113590162206002,31.468288106991917,31.496613868980628,30.540986629689133,32.93545368703687,35.395218225410524,31.690444481821785,34.712925736365676,32.597081837942405,26.950552707402025,30.165880890053796,26.698978066440713,26.864985974836014,28.739542636964135,27.609547075748555,25.600500896383384
CZ053 - Pardubice,15.226307675207131,12.325134616960568,14.993002741893086,7.404951918313646,41.628040102114475,9.733887088989732,13.810173325046332,16.296276789691795,0.0,18.118746170219474,15.6181150035539,20.476841757342548,18.288068892398837,18.98581790348084,25.543368880497876,20.679046249478464,24.338114760135394,22.675176090260667,15.871075591917943,21.81034197239758,25.759230673699477,20.390331041720046,19.500031321088105,22.48167048048144,21.62051813580289,21.321636797266795,22.390650412091713,22.292109972742026,17.76550318330017,19.38918939338173,35.34348361850694,29.505316774179548,26.285483298822903,31.936260236563356,32.62844657872344,32.45967660129656,28.090251501212002,31.740438067344666,28.84513990014996,35.08939491679176,38.649998210582105,32.87932821690457,32.17265289139179,33.44690269757777,27.51091564588564,30.684980208818985,29.953758051612294,27.615805979200484,31.994322622135716,28.54391644887132,28.855280881554965
CZ063 - Vysočina,21.709522549128398,19.670325657141348,9.422187666799466,21.65531160424601,59.74678627233395,13.010367870405549,15.14916666411823,27.51010665643272,18.118746170219474,0.0,12.393959388212139,12.463948706856769,11.264899709038442,17.402587685494602,15.217835120640192,18.46529583517091,18.50869595334045,22.131449783764367,13.705388600240994,15.570753091010602,16.186585069824986,20.46230757709752,24.480781567778795,24.76812661331106,15.459729945384076,14.479395778807152,15.402113478318064,15.1893863579592,14.833792796096734,17.204715801948858,42.81506134438247,37.42666266618441,33.889632559983674,35.75409082347986,38.16487779507743,37.8018873013111,36.53282028636878,30.75227557374392,37.69513027702141,38.50565937597595,31.0290293291954,37.10935449272537,36.51093405143272,38.86745106917015,32.035325783440285,31.70698958370557,32.01050021298023,32.781706605854666,33.38820926652233,37.02438158049601,29.59349703391275
CZ064 - South Moravian,11.168337860710885,8.254175841667834,6.769794701961942,18.849510196941733,57.24615510566838,11.520563681147152,12.98500579682743,25.009475489767144,15.6181150035539,12.393959388212139,0.0,11.876983447928925,11.940134542961129,18.03073532918525,12.457818547862136,17.531963732446997,9.240815651972529,9.737490395552229,9.612825068234606,11.907464147328565,12.314563101994501,9.968939528625675,12.086822179566656,12.374167225098923,14.648724517116513,14.670123821945012,10.406358146004315,12.429369785181144,8.862222312328448,9.507256670441492,30.421101956170336,25.314505643934332,25.381430425173747,23.36013143526772,25.770918406865288,29.293685166501167,24.138860898156643,21.804249819078144,25.301170888809274,26.111699987763814,23.111803669923283,24.715395104513235,24.593407366694166,26.473491680958013,23.527123648630358,22.458933951468683,21.031068296340596,24.273504471044742,24.880007131712404,25.44918852241033,18.57739031078098
CZ071 - Olomouc,13.814285031187076,11.405330466845086,8.961357808305806,22.375285522060118,54.19763139381032,16.05882412100477,17.465651390776273,21.960951777909088,20.476841757342548,12.463948706856769,11.876983447928925,0.0,10.365835040318139,8.267496800450388,16.71770855823537,20.49887840228907,10.818937148273204,12.464728789641377,10.013729265777872,13.368111770858938,12.483344186846026,11.86205870157901,13.158784730423722,12.784052262492452,13.379310746268253,15.285571413942325,10.20737857231208,15.08059030786233,10.0943549873848,10.317274058470371,32.9742009836572,30.99227965738409,31.059204438623503,27.157350267081007,27.146651477053425,34.97145917995093,27.970295267227783,27.4820238325279,25.231181570164644,27.417349583647443,22.038503363920935,27.992931258260246,30.271181380143922,29.449709578446797,29.204897662080114,28.13670796491844,26.708842309790352,29.951278484494498,30.55778114516216,31.126962535860088,24.255164324230737
CZ072 - Zlín,20.248772839851107,16.346594672029024,13.569006867103159,21.554791840801048,55.929176566171925,16.39970384591435,18.464832488142388,24.605244172377688,18.288068892398837,11.264899709038442,11.940134542961129,10.365835040318139,0.0,11.036040566752348,16.99055229177259,15.365590977467694,12.398834420945388,14.384230083306058,9.270277275614394,11.187869120482706,11.03618841795856,13.51469440941559,16.733561867320486,17.02090691285275,12.48235176213721,13.129398718183971,11.249338284971412,16.9621035290916,11.674252260056985,10.107887764309314,35.06784164392417,31.129180498755947,30.878390081884717,28.00687112302155,30.417658094619117,34.79064482321213,28.785600585910473,27.301209475789115,29.947910576563103,30.758439675517643,28.751415779125942,30.201547144850746,30.090367023405136,31.3241033664168,29.02408330534133,27.955893608179654,27.017536208623532,29.770464127755712,30.376966788423374,30.946148179121302,25.955733845058337
CZ080 - Moravian-Silesian,18.07030099140945,14.056262938451205,13.711011350673406,18.38006980431457,54.15124453396936,11.699011270937195,15.29011045165591,21.914564918068127,18.98581790348084,17.402587685494602,18.03073532918525,8.267496800450388,11.036040566752348,0.0,23.37653587099371,16.395831488835924,16.25429018600792,11.31270463785583,12.251406481957801,16.728198945077143,17.422171997179678,9.80982134307736,12.96571674544662,16.64067504340773,11.949379346547609,18.2656961762976,17.63532186419253,23.34808710831272,17.300371869985085,16.493871343530433,30.419395508816592,31.382262349206712,24.252125829691565,21.747055834552135,27.53663416887605,28.026142018726798,25.3349671083605,22.90846374605709,22.60666248458511,25.44297043479896,24.970621553047906,22.51024730719606,24.37087627632302,22.50439241722267,24.570435616561987,24.7067952524225,19.763525148566227,23.005961323270373,24.175065540074606,24.181645374635963,20.646634462723203
