,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,14.523169651419154,15.81701118162674,14.67737087061743,13.96798761018103,15.083477179895388,10.695670718924074,19.04140581682849,21.55168623394601,22.14736329247863,13.44763366539612,11.468155953186004,13.866833619349364,9.869183699591256,17.610320360386886,14.459317784871134,39.256567664606436,61.5840278973303,52.81361661096462,66.83283461052059,60.94138777129691,52.69228960154258,67.8155698811343,83.45487666381133,65.06527832500282,52.35609422358871,39.91122771541621,49.14391987452616,53.978142030164406,50.448122174583744,25.890005175945852,22.421204316861218,22.30095552939345,29.153730544149987,27.5118889950798,23.71063601967784,25.450172674385986,23.616804007008966,19.87184097538871,16.725608906541844,13.877149901972517,33.37985010640255,31.914351101056905,28.46769592379757,21.210551641018007,18.580716097657792,28.78839905775126,26.360043577864534,28.497487320714917,23.38301034233635,36.173045360078696
PL22 - Śląskie,14.523169651419154,0.0,16.36687718610255,22.327288112492724,17.439273076530792,9.800555477452175,16.01478235671476,22.208032800861982,25.953557508034923,20.617227318968585,15.073138141006174,15.315068295601101,19.889277337084973,16.14493315867859,23.234606351199172,17.131511293078095,29.63882181456528,49.95486481747244,41.08191799209268,50.125906552943576,44.39431240821126,41.352694069447324,54.164214139955305,65.89395097515632,51.7805984385372,45.22941210525841,32.609760739413396,39.750553031225465,49.32052693507278,43.47077039218084,25.6583274201227,27.36245997347382,22.871369699065145,26.689876902374014,24.108256794261543,23.166875058643186,30.964329694601567,23.919092846033397,21.06292082420998,24.06131336047265,19.540584979519387,26.481555773410637,30.568677904816088,35.12801232750858,20.649727208538874,21.263287778593597,24.64342001572915,20.947128919241027,27.56544961460253,23.453196062328047,34.32922050884783
PL41 - Wielkopolskie,15.81701118162674,16.36687718610255,0.0,14.666138436690787,13.989983961382093,10.925623042405089,13.654482290797574,14.826597984246124,15.373950220752329,12.423036598971972,11.409964262291007,14.756736941782174,15.309060833217362,13.770003526686727,18.643067255437675,13.613702239298354,26.687907656543363,47.357458207188884,39.31628642693758,49.44264681438749,43.61040742466307,34.76095856532912,51.14967454199895,67.40300867259413,49.923681597569505,44.12771438360981,26.778178499108257,33.79718280728174,40.39593478809552,37.64869258276022,21.057120357512186,21.042335692539996,23.11490922703314,24.38104445202757,19.071952288485832,22.16313149529229,35.27923466252308,20.37120904688005,18.155092980959626,19.706937688659536,16.84346945391712,25.74948986689635,30.63664351765948,28.773302660218057,20.43944100546886,17.855176589536462,25.15987864656395,17.49334186240208,26.40576057437479,21.67328083846946,31.435271766217024
PL42 - Zachodniopomorskie,14.67737087061743,22.327288112492724,14.666138436690787,0.0,10.446839339373803,17.26675688083126,9.746443202164889,11.563614870470127,9.387984716383462,11.316764776638971,12.931996257655621,15.647407482673609,9.743778157903412,12.464589041882054,10.424022031034982,13.777935975738332,36.16611311909586,55.0491626850208,45.69882678534707,60.549350365005644,59.81783819049613,43.532102063143874,63.90654959622329,78.20560025758607,58.07545779570769,45.18101713605267,31.258755169880217,39.20173368931641,42.788312904813594,42.464885183513545,16.986797747837954,19.224914740322085,21.457737472269955,22.336445295955578,20.456659338819968,15.895605749793047,25.428412424233,19.042128744959363,19.147893135793577,17.70457586334375,14.159961154168018,22.02242960778832,27.22305877094577,20.8757431303489,18.444639688100825,14.239826180425226,30.716141643217917,22.596586260144125,20.629844956109885,13.236309626148117,24.364768139748193
PL43 - Lubuskie,13.96798761018103,17.439273076530792,13.989983961382093,10.446839339373803,0.0,14.04540756815337,12.143816188583786,9.897950995219334,11.06385596410699,10.137952388941164,11.416251848102753,12.812576030918777,12.856660964305238,13.264988059316734,12.767625090239145,11.507201781658049,32.47162814898624,53.022011859688035,43.07818970430241,53.074626396781504,54.020165268719516,41.18299384198904,63.11575815817053,74.9129869046934,57.48542545827131,47.07535254898872,28.508177614917926,36.81604246942639,43.54427388348282,43.5696159010057,19.36938129647905,19.752890907530468,19.149690238959206,21.547496032036886,18.928415950175026,19.305946818035533,27.081252995334854,19.443374896229226,12.058335393975131,20.48278331757252,15.192292206782678,25.287227285530154,22.37443589937932,23.371291889123597,16.40637070831079,15.897755268712691,24.07680393721468,21.102122212909983,21.371513052397656,14.839656731585302,26.116058857316332
PL51 - Dolnośląskie,15.083477179895388,9.800555477452175,10.925623042405089,17.26675688083126,14.04540756815337,0.0,14.135841269794469,16.63241771556803,20.04950893034574,16.383915134366763,12.690341082596545,12.278414786993359,15.382292586292431,13.22255381665382,19.051569952911326,15.096167566841034,28.094444274559127,49.2229390573991,39.70724864861755,49.84902321901644,46.555710990758655,38.958136189032146,53.43688690987023,68.33825947818775,51.195096407671386,45.46509396026832,30.75983800235843,35.8789383281895,45.805410353089464,41.58810319696482,23.831473565084693,27.375052423152603,21.094445324338473,28.57962625905301,21.88251627591979,23.922213778989285,30.59999354323254,24.08447616310645,20.914716725864718,24.70515347312442,16.739659855478987,27.332657430280683,30.25560333879803,34.913050374129085,18.249334616473643,20.407164442373713,25.07445932849297,21.68789144107786,27.56985494677233,22.091874546576552,31.65321404673489
PL52 - Opolskie,10.695670718924074,16.01478235671476,13.654482290797574,9.746443202164889,12.143816188583786,14.135841269794469,0.0,14.48271367695184,14.973225772151395,15.97954588008056,10.090471740691347,11.537144103614848,10.877468514512964,10.157909621872419,14.453025596217755,15.025050153818478,37.279382281483166,54.979632118413996,49.663283562722086,61.28305122757832,59.47527555367498,49.8557390486236,60.02451581774938,75.71616463453753,56.60238469545319,47.72737168301527,34.97787095022415,43.48521357731079,45.60007970042982,44.67572176346828,20.06096342029043,22.57103492179787,23.939000867570154,27.74312466574265,22.75014066816597,17.83748857107998,28.51811528151416,20.931419323553,18.673826819777076,16.135717196456,12.180513754820792,25.090348516523616,31.589012838864615,29.84929139578693,19.154805612181324,16.925342130638054,26.787828368203982,25.734778027023943,28.06610939626807,17.842724591571987,31.59797111508475
PL61 - Kujawsko-Pomorskie,19.04140581682849,22.208032800861982,14.826597984246124,11.563614870470127,9.897950995219334,16.63241771556803,14.48271367695184,0.0,8.673896813709858,9.833960737084645,14.593820009658812,21.79914490627854,15.144320857267802,18.07134276288411,15.382238657723049,14.002229448348526,32.06728752643529,48.85470201977112,38.71434836352404,50.34707456487508,50.12055939069895,36.556480584200955,56.08366104245838,69.03665138696125,49.99983647000966,40.570670563675336,25.01297297877643,33.746210629243855,37.04626860786491,36.49408404562622,19.40713992608908,19.54395008791594,22.358174050346538,21.500479563278546,21.10975437819085,20.023729673821634,25.531996390136047,18.828601141509953,16.73812870780924,22.949901303212737,18.924945500621455,22.730062901909754,24.977470911942035,21.664534532084712,21.762293384506332,17.715807110125507,26.185148552229524,17.236100223701733,21.069707752774118,16.773866001507876,27.51086060684189
PL62 - Warmińsko-Mazurskie,21.55168623394601,25.953557508034923,15.373950220752329,9.387984716383462,11.06385596410699,20.04950893034574,14.973225772151395,8.673896813709858,0.0,10.563241763345367,13.554807979359571,20.421504050184783,16.798062268946218,16.131273921132976,15.736372439764791,15.151613227812481,33.56606524928004,53.98630626923355,42.83963354791304,55.37279088615372,57.86864674144066,38.10900409523802,63.27726322401801,76.57118132046948,56.65701089183554,40.5908127911483,26.964637067664906,33.54550948415484,39.7580234383132,38.56596355097566,16.24904600547842,17.06314977081477,23.850492703376418,22.01836041455517,21.217487113127483,18.526540547582304,21.949118723549063,19.16454892971496,17.381908009482736,24.71519504014917,16.966639116690498,25.474774829937516,24.911129779088196,18.2556518614811,21.442762034017086,17.319332210186555,27.33276079205397,22.103064952158437,19.609914499921075,14.252838360682812,25.14542687497277
PL63 - Pomorskie,22.14736329247863,20.617227318968585,12.423036598971972,11.316764776638971,10.137952388941164,16.383915134366763,15.97954588008056,9.833960737084645,10.563241763345367,0.0,12.699745720022014,18.16818262769996,14.265248349742171,18.257183598755528,14.533563809183548,12.412960798664354,28.049039061456224,45.684922691700585,39.31460677223273,48.886142106655235,46.47198703952014,34.373589390690555,52.64183309745864,66.38632628179626,48.70015941564424,41.163831613458626,24.391488784162537,30.77282500698805,40.75545521536047,35.61315376036373,17.117840388471357,17.593454964509885,19.531847259130643,19.99378380558463,17.82995091935841,19.86292204303981,23.77829736191161,19.235282731044375,14.190743815893525,23.468774851411847,17.86357340193494,26.10383760222963,22.553518596512177,19.33420737191497,17.549390889635806,14.834420792126565,24.483963211425518,17.59115188649322,19.846486510129335,13.794347549672464,24.96734032741816
PL71 - Łódzkie,13.44763366539612,15.073138141006174,11.409964262291007,12.931996257655621,11.416251848102753,12.690341082596545,10.090471740691347,14.593820009658812,13.554807979359571,12.699745720022014,0.0,10.410375342292365,11.35565352709296,12.0941105824537,14.283041582276816,12.720616129083963,33.84912225499042,62.474937376711274,51.784009025641396,62.67554942017002,59.09305687619414,46.67817005578586,69.84976789122757,85.26834587621185,66.17334164294269,50.21877016546721,35.70367994894961,42.17161231910529,46.19792394826394,47.66730230980422,19.096740264569405,19.02261746329511,20.320227674666466,20.566602083239406,18.879110017345774,19.76238744701838,27.451252865464927,21.977768632280537,18.67692540158994,18.96162238858631,15.136352165291443,30.090271596745534,28.362702122257033,26.65988144566161,15.814086762536125,15.427698213585813,27.49019634409916,22.945980999633278,22.156447241725886,18.513720281963373,27.387014455679775
PL72 - Świętokrzyskie,11.468155953186004,15.315068295601101,14.756736941782174,15.647407482673609,12.812576030918777,12.278414786993359,11.537144103614848,21.79914490627854,20.421504050184783,18.16818262769996,10.410375342292365,0.0,12.797611300760671,10.27827800545755,13.799934132091202,15.141691968772264,41.652215430545,66.83994425866392,57.30224250626064,69.96405486358053,68.97459340808544,52.79154127346509,74.22232101917659,88.63740549573792,69.31744824947762,52.02218363495174,42.87131012032098,47.72587224342712,53.65391675469619,48.659623985958106,25.12287247900394,26.239664302210027,23.104712238430345,28.45620516826475,24.908329288215494,22.410908491251714,23.918755560305073,28.17020695810358,23.51613634310965,15.906796311576318,13.041699635177482,33.966631602453745,35.223821052536024,28.12091574427082,16.054657715642076,17.134766866051137,30.950809204575787,30.78343488999679,27.912040337517244,20.125168714856983,33.80034579386781
PL81 - Lubelskie,13.866833619349364,19.889277337084973,15.309060833217362,9.743778157903412,12.856660964305238,15.382292586292431,10.877468514512964,15.144320857267802,16.798062268946218,14.265248349742171,11.35565352709296,12.797611300760671,0.0,10.87892707542097,8.927164005288134,14.497981168193661,42.83187469213025,54.206166471433555,49.15333531838014,60.7561943543381,61.99783138325128,42.87637890211152,62.6310514568077,78.88747910016521,59.54999979418096,44.21558663980512,34.56101299708021,41.46113854260154,47.19861850833541,41.99323029527112,21.00876323757207,24.738793133034967,24.35842910012571,26.69090620046215,23.853978357547245,16.120930924995157,32.32901032372499,25.823533537400454,25.948845573565084,15.09875768959582,16.314368736166948,26.222085365440538,29.45905817235238,31.504906337616273,15.294186269273583,18.263799964410527,34.291877796290315,28.636691553146193,25.23182387813108,20.406539499377388,33.37909288431555
