,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,207.2108520308929,147.73673698990785,267.82253177089507,187.98119214869246,163.99163693955956,177.08379290330356,243.96842754504576,259.3554397169939,197.05375269086053,99.59487278569614,82.94137843141101,199.30619817030527,107.91155237823466,215.17503214852593,257.4985846240023,713.7768813355264,925.1695945817582,668.666400268981,1187.7952252321993,1098.5167690449794,691.3101781453805,960.6631424284951,1192.6511749831427,924.5471633630257,748.2324734845457,698.8619242462527,700.2983285481778,886.2230011312796,978.728864648891,370.80024958058453,354.9633541932547,282.83578689929124,366.5685438215694,287.2553378190156,370.9719628351802,322.6464388992504,469.48941590739554,421.0215084480553,424.59373517753545,506.30223060849505,654.608155087141,595.5003337160914,408.29818706940205,362.41234107279865,324.04983790983067,801.9161620073728,459.76787241850656,384.0341633915889,386.8815765969997,375.1048472866293
PL22 - Śląskie,207.2108520308929,0.0,141.53563888721692,285.87404448582805,214.16972478999242,100.37826476528801,256.7770986957549,234.61343399908543,338.32217710677287,240.40936190902357,230.41299682875177,267.0173641602283,363.7576772872945,308.4839587815413,422.38588417941884,362.1658270104473,685.2844809613359,896.6771942075677,690.8413935198537,1159.3028248580088,1084.777715441972,659.3015015523882,932.1707420543046,1151.2505570599928,883.1465454398757,706.8318555613957,657.4613063231027,747.9707233864034,956.1098138365502,937.328246725741,331.46432585155196,302.56361446669996,359.9030836642945,438.4990307034882,260.2504693717083,368.2756894485189,276.0132337115198,465.6498894168093,413.3224900491896,504.75135420832606,463.35881831990537,613.207537163991,554.0997157929414,365.35477478081236,453.1875157489025,361.5923813864484,749.5164222808181,407.3681326919518,389.029286979354,498.76141716149414,371.78067544164657
PL41 - Wielkopolskie,147.73673698990785,141.53563888721692,0.0,219.74742053154978,203.9862515317992,186.28257018595914,211.09617326024824,162.1756389702386,243.36150308595245,176.6890693223346,139.63918357297825,172.05669013940786,310.1391653009263,213.52328476072086,327.4252101585984,304.2474843418697,684.4138919967513,918.9523135320544,664.3739010937741,1158.4322358934241,1062.2315629198365,687.0176789701736,931.3001530897201,1059.2879552433199,877.3834762676473,614.8692537447228,565.4987045064297,702.4132559357886,910.5523463859354,845.3656449090681,260.5174061177149,241.01512617275472,301.98474099571695,380.5806880349106,261.090775727264,305.30967548987496,234.88397762240317,440.3089279349553,391.84102047561504,409.79068018750564,404.6623436980054,521.244935347318,462.1371139762685,301.0321872443759,395.26917308032495,303.6740387178708,657.4976419324773,405.987404986773,400.03922277469565,403.8007431406737,365.8478794884295
PL42 - Zachodniopomorskie,267.82253177089507,285.87404448582805,219.74742053154978,0.0,157.15825600476396,242.6548293944947,206.21982987238783,229.38759305492752,253.6708032225965,179.82644963859696,188.9249902731449,251.62864786285172,192.0829625580888,254.6323461692635,200.63515488380608,208.350196357164,689.7393138092654,940.9436631863093,687.831955014833,1163.7576577059383,1035.6791440053578,709.0090286244287,939.2666122322487,978.2961190003175,882.7088980801614,667.2260243132392,510.0038295492723,744.9612848813829,953.1003753315297,727.4937994725583,232.3005741568135,230.88169166675803,222.05025305523674,342.5824750262638,276.04215193942946,277.63459298622195,242.62096162101304,448.0459119335652,399.57800447422494,220.61403049967578,308.629811877312,403.37308991080835,344.2652685397588,206.40877751832429,301.2401761604866,246.76897926794717,534.0936302364778,420.0095482957215,308.24559519503,340.5417959451504,363.8307468590723
PL43 - Lubuskie,187.98119214869246,214.16972478999242,203.9862515317992,157.15825600476396,0.0,174.72509770419435,166.14712391538504,206.07806038477793,141.2864679745455,102.97694351929184,165.61545760299532,149.40547545023773,214.85987229851753,181.89309204997642,215.12672575102727,197.02641729715467,594.0120666802178,821.8750342811891,653.5075626732857,1068.0304105768907,1037.8952714889963,589.9403997193084,840.8983277731866,1098.5743658115741,830.470354191457,677.6938458154953,604.785115074684,710.6368925398355,918.7759829899823,884.6520554773223,257.5650954734237,261.43727672022874,243.01376898372234,381.35183829165146,299.9546649631801,301.1229764578073,266.1093450925984,471.53429540515054,423.0663879458103,307.72599886940014,403.32098161538374,560.5313459155723,501.4235245445227,305.31693807629074,288.04810603560986,261.1441605740252,660.4343091859861,450.56513334919225,331.73397866661537,297.6581857425807,382.4159484719421
PL51 - Dolnośląskie,163.99163693955956,100.37826476528801,186.28257018595914,242.6548293944947,174.72509770419435,0.0,206.72209699349946,258.3157198402524,295.1029620154395,197.78861915155937,217.85311705846985,223.79814906889493,320.53846219596113,265.2647436902079,379.1666690880855,325.3470341710945,681.3109054279759,898.3676182015574,718.2498255475869,1155.3292493246488,1080.5678650195282,666.4329836396769,928.1971665209446,1155.70211470862,887.598103088503,711.283413210023,661.91286397173,775.3791554141366,983.5182458642834,941.7798043743683,315.3828529827524,292.2499315964175,323.0842908249417,401.6802378641354,256.2258282379356,325.05647435718555,274.13105629176044,438.45990632631555,389.9919988669753,461.5321391169927,461.47664090014604,617.6590948126183,558.5512734415687,363.47259736105303,416.3687229095497,324.7735885470956,739.2027394105357,397.0544498216694,370.7780689470908,455.5422020701608,365.2561853889241
PL52 - Opolskie,177.08379290330356,256.7770986957549,211.09617326024824,206.21982987238783,166.14712391538504,206.72209699349946,0.0,197.04657876549896,285.0737941609558,201.7515892440112,138.37624588912945,148.51614398934944,168.65458318780117,223.95111011113397,172.44457209458602,293.94200475988646,746.645891600512,972.3466541246687,717.7682416863884,1220.664235497185,1088.6577726338483,740.4120195627879,993.5321526934808,1147.635939679198,939.6154758714081,703.2172381806009,653.8466889423079,655.283093244233,842.0465984222194,933.7136293449462,294.0666107680299,279.67734886249906,291.6792614137337,370.27520845292736,262.7596424477425,281.4056098685194,266.5408024313364,444.99372053612245,396.5258130767822,295.17793390006443,453.88638703972197,609.5929197831962,550.4850984121466,355.88234350062896,384.9636934983417,293.36855913588755,726.6301566766172,413.2602114503571,348.31372741093946,393.7050165728632,362.99201757432513
PL61 - Kujawsko-Pomorskie,243.96842754504576,234.61343399908543,162.1756389702386,229.38759305492752,206.07806038477793,258.3157198402524,197.04657876549896,0.0,225.65385779774286,189.8221058120015,145.58678401428966,242.45539675596285,210.74758454098395,230.7782419434142,211.0144379934937,162.9881123967231,631.7207716457983,846.4803288138635,591.9019163755833,1105.7391155424712,998.5238123156836,614.5456942519828,878.607032738767,950.589360913699,824.6903559166942,506.17065941510197,456.8001101768089,636.5004671783227,844.6395576284694,736.6670505794473,248.62531419228947,260.6680284201733,336.5647031980943,368.6858957329723,287.28872240450096,299.65946525179857,258.945701656489,464.37065196904115,415.9027445097009,355.39039827305106,389.1060356448816,412.5463410176972,353.43851964664765,296.4807000331657,397.7937638689908,315.1350939480561,557.9477344623272,449.7958850491368,428.8031829324101,377.31890314288694,379.3534305451678
PL62 - Warmińsko-Mazurskie,259.3554397169939,338.32217710677287,243.36150308595245,253.6708032225965,141.2864679745455,295.1029620154395,285.0737941609558,225.65385779774286,0.0,114.96771614626562,240.568451224882,270.8583916305363,289.31321819940564,250.44761338109856,214.26131860504537,194.29466059108563,592.7491650685133,687.2728599637128,710.6877218854165,948.7642986061392,982.9066547475722,579.1080900760093,721.632215802435,958.0231947009972,689.9191830808802,657.85135790204,532.8595964198557,767.8170517519663,975.9561422021131,744.1008843667455,276.5154311289951,312.6024210661466,275.42194943028414,400.30217394722285,329.41384831447687,314.1220246014513,279.1083932362424,484.53334354879456,436.0654360894543,321.6968147044393,315.0980332881693,419.9801748049955,360.87235343394593,242.89620913355367,283.5048080055286,288.63285689304973,542.560722290379,501.7302776951101,344.7330268102594,198.58525625269294,381.32595690951837
PL63 - Pomorskie,197.05375269086053,240.40936190902357,176.6890693223346,179.82644963859696,102.97694351929184,197.78861915155937,201.7515892440112,189.8221058120015,114.96771614626562,0.0,157.2462463079374,197.4473353773796,270.2181944079735,189.07466638515803,270.48504786048323,127.55841501953515,558.8794889738531,770.5950648806574,670.2953602165412,1032.897832870526,1003.8623017525362,543.2763380902679,805.7657500668217,995.5974222922822,751.849073244749,581.7809101754603,501.80817155539216,727.4246900830909,935.5637805332377,781.6751119580305,256.20740762830593,283.623261249557,241.65608113860458,379.9941504465337,298.59697711806234,293.261547513004,258.24791614779514,463.6728664603473,415.204959001007,363.0843209788561,352.513354814001,457.55440239628047,398.4465810252309,234.45162117612907,273.018588292074,259.7864727289074,630.1252649630636,472.7511178785205,323.8725497218121,312.7211965474303,372.2304473385592
PL71 - Łódzkie,99.59487278569614,230.41299682875177,139.63918357297825,188.9249902731449,165.61545760299532,217.85311705846985,138.37624588912945,145.58678401428966,240.568451224882,157.2462463079374,0.0,143.69510408272305,175.5278389161482,145.40547707837848,191.97288735066707,164.6083007688915,701.59424684552,927.8413111885949,673.2628987503147,1175.6125907421929,1076.8596265170095,695.9066766267142,948.4805079384888,1096.1761449279886,894.563831116416,651.7574434293916,602.3868941910986,692.1129036362323,900.2519940863791,882.2538345937369,291.21780922240134,256.18515941043233,296.1021004163117,342.9461297899811,261.54895646150976,281.7703230548741,234.72733859429837,440.1522889068505,391.68438144751025,324.9988623918393,413.2923853807942,558.1331250319869,499.0253036609373,315.2883418417012,357.3311610872082,274.6724911662735,703.1379672245505,415.2356107267334,388.3405801506275,369.7886420917424,365.7959113303682
PL72 - Świętokrzyskie,82.94137843141101,267.0173641602283,172.05669013940786,251.62864786285172,149.40547545023773,223.79814906889493,148.51614398934944,242.45539675596285,270.8583916305363,197.4473353773796,143.69510408272305,0.0,139.57778837791875,149.5602460580718,155.36852001919056,185.0355191352137,722.8438896174557,958.1312515942492,703.552839155969,1196.8622335141288,1090.970820795828,726.1966170323685,969.7301507104246,1193.0447576696617,924.9407460495447,748.6260561710649,699.2555069327718,700.6919112346968,905.838053370248,979.12244733541,381.6665017408109,332.2303926835442,240.94759716735587,375.3344642828743,295.14477949167883,372.2190155732836,313.48711065974936,477.37885758005876,428.9109501207185,398.2908185153708,500.83269526813496,655.0017377736601,595.8939164026106,402.82865172904195,289.29013881012884,301.31687640012024,779.1832004976624,446.0476387330749,337.5785408415236,394.21538138317925,377.83274580437944
PL81 - Lubelskie,199.30619817030527,363.7576772872945,310.1391653009263,192.0829625580888,214.85987229851753,320.53846219596113,168.65458318780117,210.74758454098395,289.31321819940564,270.2181944079735,175.5278389161482,139.57778837791875,0.0,160.42880529710806,103.89767043530429,298.74194112654055,718.4966084385707,976.5860781631185,722.0076657248383,1192.5149523352436,1072.2564879908946,744.6514436012378,974.9090272090579,1133.499072364899,911.4661927094667,689.0803708663019,639.7098216280089,725.482037429608,933.6211278797548,919.5767620306472,302.32273874264564,282.77788252103653,256.64039179577196,378.3492100995917,304.47037016462764,292.9139796725576,260.8126688655015,463.3252986199009,414.8573911605606,340.88048283794717,448.1582534738871,595.4560524688972,536.3482310978476,350.1542099347941,328.3138001242032,260.8992716182945,711.2885642381266,471.90573915000004,349.93562244299346,376.75218019079875,372.83331233011796
PL82 - Podkarpackie,107.91155237823466,308.4839587815413,213.52328476072086,254.6323461692635,181.89309204997642,265.2647436902079,223.95111011113397,230.7782419434142,250.44761338109856,189.07466638515803,145.40547707837848,149.5602460580718,160.42880529710806,0.0,144.92571024570833,164.45644226585404,647.58149555492,869.5012235013442,614.9228110630639,1121.599839451593,1088.8594139581035,637.5665889394635,894.4677566478888,1145.3801871417534,877.2761755216362,700.9614856431563,651.5909364048632,655.5269725444535,863.6660629946003,931.4578768075015,380.95969596121745,341.7731685916232,281.05928758123383,419.39735688916295,338.0001835606916,377.1902283155635,323.27451600574204,502.38993298898026,453.92202552964,430.8120006579187,510.62010061412764,607.3371672457515,548.229345874702,412.61605707503463,356.3242409740826,310.8596523081991,788.7259764057413,511.31889057609254,377.94606329287285,345.9252333125182,390.3361992203892
