,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,0.30468918644474735,0.315285117664831,0.40984318160216743,0.5068533396496682,0.294956553244794,0.3844601276187385,0.5186343654776917,0.43169582713863297,0.4210001425462537,0.4316734429916707,0.36749141335473795,0.354439451290607,0.2942320933960284,0.33407748473926513,0.399334842123408,0.5541426220708947,0.5869710119532526,0.963622332440334,1.1413864770435356,2.144929982758407,0.8964857496401771,0.7341444344397319,1.1430296724349922,0.7227904451356759,0.6355956342534357,0.8204516634125197,0.8333290098993217,0.6185745043034874,0.7465844966277868,0.9275641946199463,0.9030437989516645,1.1799428771041727,0.9310822011287067,0.8743516089148431,0.8864726130700482,0.7840622006675667,0.7782705950345554,0.7500839255581575,0.8805176607011603,0.7493869760308829,0.6660036442180247,0.7025008844005567,0.7281387311543415,0.831667124695899,0.8452321490127153,0.8731809487268779,0.8540643613379666,1.0159052540481948,0.7301312115732818,0.7638321402735622
PL22 - Śląskie,0.30468918644474735,0.0,0.30580157308414196,0.45324227438535936,0.5499901950043943,0.35159489981764336,0.46870565551419924,0.463473793641487,0.4871394125796753,0.43366171480274024,0.41094616133870693,0.36651261479700026,0.3992062122272356,0.34449115039559236,0.45169431020198175,0.3677779488796577,0.5094241441718307,0.49294837311919243,0.9259479124996438,0.9717505849706446,1.9724026719397088,0.8617331552917123,0.8174508691900919,0.943363855742606,0.6117228188889086,0.7273774119988893,0.7873481611493949,0.8581908743268808,0.7273117801434458,0.6991470587636781,1.318145601366921,1.1418351736508414,1.3850513324508367,1.1241561563035354,1.2797189970748233,1.2219007484949609,0.9940293448976875,0.9311304599125139,0.8724115342838152,1.0080536268454867,0.8420838736620542,0.7363572813787322,0.8237907814948067,0.9617768943359589,1.090497008330143,1.201439703756964,1.1019622303300989,1.0248304894495026,1.2986208370479162,1.0024922023216476,0.8502924810537984
PL41 - Wielkopolskie,0.315285117664831,0.30580157308414196,0.0,0.3231467985476965,0.44805756338966096,0.3316418095113659,0.3901451085530237,0.35594048648832954,0.37768928734366897,0.3367963243501132,0.3566653779404635,0.3840979037682622,0.306798748023053,0.3384124312160277,0.3591466085868734,0.30501348404312134,0.4403111623574881,0.4918507138421893,0.8791639502513914,0.9865008778348692,2.116527882931258,0.8177768449834893,0.7442870959367432,1.0228903372813962,0.6257522493426775,0.6168608727946221,0.629818482856123,0.6608523186650792,0.6524114927828052,0.5623196879056416,1.200801845632875,1.040705167196661,1.2064843539153438,0.9647746967420694,0.9735181983915834,1.0143507243158003,0.8193609064192786,0.9614840526733418,0.6833609806074024,0.8661435808882255,0.6762016521371819,0.5931457824465524,0.671243899832804,0.7733910664140738,0.9288029468157127,1.0327065510280193,1.1052476134427802,0.9104127087579542,1.0939040173463277,0.8235199155358778,0.7429275516698249
PL42 - Zachodniopomorskie,0.40984318160216743,0.45324227438535936,0.3231467985476965,0.0,0.4641898121639221,0.2993760377668378,0.4251456034496017,0.34042380591982974,0.3962376358376846,0.31469539778382394,0.46376219137458496,0.4208908077419221,0.3095871944394276,0.4672544671139108,0.28250511706293474,0.30943492670946954,0.5141227250607406,0.6415184086976634,0.8322139978293108,1.1380372733946924,2.3744084970748665,0.7963080500595627,0.767642689243194,1.1558782066990427,0.8290295427586849,0.6853472575315877,0.6981934049859001,0.6626112374718919,0.714018414083564,0.675008016893854,1.144367633700088,0.917156171810409,1.0344563682551382,0.8445590623055252,0.7749187652622822,0.9619884592971417,0.7745792352243732,0.8579613831406644,0.5947156859525888,0.7268090974665506,0.6746903019698534,0.5356496844072527,0.5779087691686066,0.7254371338098139,0.7086629673589804,0.8880579691284838,1.0037729891695262,0.8621935221371563,0.8995704404456651,0.6097563005596662,0.6767470494520897
PL43 - Lubuskie,0.5068533396496682,0.5499901950043943,0.44805756338966096,0.4641898121639221,0.0,0.5236920576601782,0.5867771274021746,0.44281230168161106,0.4391705493931976,0.4323948266572901,0.5014178407536816,0.5415699558254469,0.47053869249812524,0.5344844791379179,0.43436318975249566,0.4358797828241098,0.46210793739555595,0.6287475817689478,0.8535848645855142,1.091563662804006,2.1048243438204826,0.8019729464657767,0.7566909543154453,1.0379821207415711,0.7651196216381505,0.6322461170861409,0.6866525209598374,0.6627642297470078,0.7101689114803977,0.635714749824815,1.0871116229353552,0.9940088310431945,1.2010811513966229,0.9830686139157908,0.845476439955705,0.9143003818482432,0.7577315649550587,0.8338945723501573,0.6844962237320306,0.6761037845436871,0.6726917086629037,0.557104389917964,0.6342852046837223,0.7926462962183931,0.8227783329303832,0.8834073331478048,0.9628227211056343,0.872604505063478,0.9687485059021537,0.7212541646082834,0.7540143324541527
PL51 - Dolnośląskie,0.294956553244794,0.35159489981764336,0.3316418095113659,0.2993760377668378,0.5236920576601782,0.0,0.40685218862377565,0.45780322719359756,0.3944216929096867,0.2982471801310331,0.3851724262424418,0.3732484550590774,0.35175866075210416,0.3587823323964671,0.33056296909642363,0.2409387631887203,0.5301965599469837,0.6829242154957761,1.0233081964837907,1.2868098707470392,2.4224772502951204,0.968160754253881,0.9711742677965871,1.39700392974571,0.8135967153866007,0.7736753695413209,0.9106067229535758,0.8921491152620793,0.7309324662982536,0.811860658526636,1.046440367964125,0.9024822186095065,1.147839137564538,0.847387636560021,0.9182149566180209,0.9518987887414582,0.8468217802045755,0.8524296757295139,0.6197732594961891,0.7899291846739124,0.7687850034145984,0.6454829406057965,0.6678471978520623,0.7457218994665391,0.7569538977499117,0.90446096629762,1.0689731069033206,0.9591245249661589,0.9953201713742208,0.6791727202752373,0.6351829809050055
PL52 - Opolskie,0.3844601276187385,0.46870565551419924,0.3901451085530237,0.4251456034496017,0.5867771274021746,0.40685218862377565,0.0,0.5552597982210028,0.3961238880049206,0.4868076980207579,0.4060173507718591,0.5339143154749129,0.3955254190813185,0.3553563944712067,0.4629560060332649,0.43990130126564636,0.6124768866947607,0.6230329227133151,0.8938676927341049,1.0963178786122176,2.0702433301241596,0.8019986603992911,0.7641927645438344,1.0646748426995927,0.7294996011752641,0.7153898630212722,0.7597278879011359,0.6871932479828922,0.5716281048230668,0.5879574870398118,0.9162901336856801,0.9509122556147834,1.288786444030037,0.9751092078131154,0.9791675354791184,0.9835018255077164,0.920725920367277,0.971301069578696,0.7625881884621389,0.8437933749665351,0.8440730296252722,0.6655261673590126,0.7726737175778389,0.8847317984281249,0.9148114149000076,0.9500291501298681,0.9593678037977135,0.8028820719770537,1.100546793365826,0.8322531161980012,0.786512248581604
PL61 - Kujawsko-Pomorskie,0.5186343654776917,0.463473793641487,0.35594048648832954,0.34042380591982974,0.44281230168161106,0.45780322719359756,0.5552597982210028,0.0,0.41759403743270906,0.40390192824915283,0.48988969133025506,0.45301813454695955,0.35472427304321114,0.4605364537898323,0.42071977832722723,0.4265406921978496,0.41956265912936336,0.46922823525448104,0.7213772521475182,0.9272641637319026,1.9930060128320595,0.7078051658536736,0.6282206469610706,0.9166649073490828,0.5337409870426578,0.5883884850448184,0.5657772265507797,0.6168843933338626,0.6697381145244612,0.5102687944166523,1.182903540569728,1.1357854335283109,1.2309546412250014,1.1404931929986502,0.8594550580771769,1.0324807834946899,0.7417654719733903,0.8745971151119102,0.7005616284923534,0.7647777247705331,0.5951838865471847,0.5523606935842252,0.6477321321240763,0.7747582128160256,1.0500424737457694,0.8605361141906213,0.9851014537424987,0.8885189395222087,1.0448734589091524,0.941160539147823,0.7667790487738049
PL62 - Warmińsko-Mazurskie,0.43169582713863297,0.4871394125796753,0.37768928734366897,0.3962376358376846,0.4391705493931976,0.3944216929096867,0.3961238880049206,0.41759403743270906,0.0,0.32676597465484786,0.4286622045484281,0.5265978975366855,0.3037153054596528,0.3929291059745326,0.37904098011856197,0.3947459438943248,0.5316992154758585,0.6099396043250442,0.7264131589558404,1.0694359962286584,2.1715300326240747,0.7702800570139823,0.8168208327897033,1.0056385112560933,0.7174234819856858,0.5877534121277878,0.6157010489885366,0.5502796408836514,0.5432044619761568,0.5412368518770891,1.0376389927534166,1.0623852624486188,1.2237068399806479,1.0755975746346715,0.8877129090516107,1.0543812185461652,0.8513071217994191,0.9223111463021064,0.7106667583447044,0.8153519988569023,0.6760643954238279,0.6333786021069767,0.6883938309717021,0.8832551525641879,0.9895640024520325,1.0291926203269162,0.9458756434221762,0.7804834835083353,1.120636825108871,0.8371797238670649,0.7436868609757923
PL63 - Pomorskie,0.4210001425462537,0.43366171480274024,0.3367963243501132,0.31469539778382394,0.4323948266572901,0.2982471801310331,0.4868076980207579,0.40390192824915283,0.32676597465484786,0.0,0.4626309234094085,0.5030702251398301,0.2689113159566576,0.4606519506617765,0.32297253135445425,0.2808403668364588,0.3968427850202803,0.5683516636246656,0.8626008144977252,1.1034365385701992,2.3247377900117225,0.864311007190658,0.8277308332362644,1.2121944650350887,0.7697142977258383,0.7277453617137181,0.7090111441045207,0.6838368727951513,0.6878481276723304,0.5540796696741123,1.1293527381391724,0.8585897660197683,1.066442004668186,0.7773479435080421,0.646505414951961,0.8444611798296139,0.6944312930068737,0.8098425085951526,0.5267727327908249,0.6888211744896251,0.48491508998735,0.4199888537941267,0.47463884231756165,0.6430315265065633,0.7324299503296668,0.781334874264701,1.0068802177329026,0.8652777832660907,0.8325555338896543,0.6052510794622189,0.6417770317439017
