,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,0.005568512565557775,0.008068808638949838,0.0073102877855710695,0.005330546875683022,0.010002050464295866,0.007806537224769573,0.02328406828239822,0.004970090809258589,0.009715897691027547,0.007606673028779889,0.011314993566102534,0.006084362424894358,0.027973521193966927,0.014325609389302815,0.0076952412009331245,0.008826145646882253,0.008986080744603643,0.011772090546478419,0.011506988349023622,0.030705626659814075,0.01301599535743576,0.010876479908253993,0.01190612924015176,0.013748683179292226,0.009685021663264392,0.008381768086768293,0.012483764084001467,0.01695850260448379,0.009258239313720697,0.019496858505670674,0.015735820653784788,0.01997190249451218,0.014298367772820543,0.011094032606241205,0.015526233381799384,0.014219479033092973,0.014745573685971718,0.01669701148716976,0.01994770270317462,0.01225890385235678,0.017272802719479945,0.015094559078071324,0.014303886983121026,0.014403361339291577,0.017155306595517887,0.013484794421312823,0.017258990447848163,0.021611238920067687,0.013128912849778464,0.01597446684223449
PL22 - Śląskie,0.005568512565557775,0.0,0.0081957077474279,0.010575434105450109,0.006123978012818288,0.01034325744498132,0.009287438573684206,0.025021184022821295,0.005873640981622577,0.011504581253100256,0.008129432923317982,0.010902222044625022,0.00897567625042518,0.027215559415822006,0.014825908935375214,0.007799579078637048,0.01039427152926918,0.011056396098732539,0.013009071557894861,0.013812520001673349,0.03307735727335849,0.01491697491585225,0.013675996117523754,0.015678613825660118,0.015805969244406137,0.011310139447127752,0.01090008733527339,0.014815065571257464,0.018500599684885544,0.009867978878210134,0.018803479936702932,0.01577715426088236,0.01950944591775196,0.015087410551244856,0.012756934560647895,0.016352577157947926,0.01444359460699923,0.014948300972696546,0.018552502720019976,0.02205444637409624,0.0161656343811913,0.016958995763429102,0.01594915501571038,0.014769232071660827,0.015954617680092886,0.01857996080714503,0.014587670311555435,0.018923523048976033,0.024092468802784272,0.015730487141766517,0.01794516147207848
PL41 - Wielkopolskie,0.008068808638949838,0.0081957077474279,0.0,0.009152139283645045,0.007931600671681803,0.009771852277658559,0.008609728611772751,0.020682086891238554,0.010093788752830702,0.010063232207796344,0.007526105953790059,0.012816367986083,0.008502344784061729,0.025194026578506664,0.013991699792461959,0.006105898305263401,0.009709052757367753,0.010735807498180545,0.012493684532927868,0.011650432881723587,0.030716724036768776,0.013868422022969324,0.012393606177307915,0.015129591539177067,0.015508845525621326,0.010926353015297662,0.00948121247455968,0.01290044202491118,0.020387752542584552,0.009505200213768232,0.01249158342766253,0.01355682385025395,0.018043956502955028,0.011508101868373687,0.010466846242219835,0.013343463444386633,0.012543444213915941,0.010821812900694425,0.013220576035090099,0.022208217126707494,0.014765323538925363,0.013681964426026183,0.014368051435828798,0.013187629387053517,0.013189239732479834,0.014698053110249756,0.01300015693954288,0.01551711433888706,0.022280804098382304,0.013969055860267695,0.012992602973388565
PL42 - Zachodniopomorskie,0.0073102877855710695,0.010575434105450109,0.009152139283645045,0.0,0.00781310458259932,0.011692141600000965,0.007653737667950224,0.018901402265637808,0.008629241794982215,0.009301725191385207,0.009312579442459069,0.013008492237251389,0.007124000067496586,0.028401379288087936,0.012813637525018596,0.009996347136892977,0.009037977331360364,0.008687948940491722,0.009827681770557024,0.00971891176338308,0.029166627534184503,0.012630431417717445,0.010449000694278912,0.012126514756361511,0.012760637468316483,0.010002132792553976,0.007311169580375454,0.00922795722280766,0.0152853141984883,0.008560804829036128,0.015435641473970705,0.013444168601785302,0.017425925787242877,0.013190346046032505,0.010652460750051142,0.01381366308720324,0.012140830271434803,0.011537476688870073,0.013330023943080244,0.01894598909591509,0.011535167494769736,0.014478729033388432,0.014445709238450231,0.011541103486056064,0.01146669847992597,0.014007793026159844,0.012774107914845442,0.013740411932371476,0.01887295163108456,0.011335553138735292,0.012735351371672582
PL43 - Lubuskie,0.005330546875683022,0.006123978012818288,0.007931600671681803,0.00781310458259932,0.0,0.011527785774732138,0.006712606741857819,0.0207211273495193,0.004961313343396992,0.008292608958247986,0.007525383905090861,0.012077896870789835,0.007482705528325326,0.02671690998886924,0.012800257647888722,0.007527375929825382,0.009338197217713293,0.00972131755613416,0.00903743629573872,0.0109839607083457,0.03019179600881624,0.013646648313020772,0.011147166159022122,0.012389514621710934,0.014527474000124562,0.010090529508889341,0.009061939413181433,0.012078567196310643,0.01684115402059093,0.009845735413860895,0.022489209472558194,0.020683778303414273,0.0240213985964774,0.016466281650513656,0.011806274533929647,0.013023391956332599,0.01110778112101696,0.013130661550041185,0.015969526786418695,0.019578582704047172,0.013470843213549404,0.020670664636314232,0.014611793556318914,0.015193398735637988,0.013484070047541662,0.02234162137900542,0.014155797253322645,0.015145223483096538,0.022120190317219294,0.011569655968116278,0.014855836914881541
PL51 - Dolnośląskie,0.010002050464295866,0.01034325744498132,0.009771852277658559,0.011692141600000965,0.011527785774732138,0.0,0.010474988224536215,0.021510733849525943,0.012318974418836514,0.010890154311714383,0.010241246894614168,0.013535195816167916,0.011276444141852488,0.026294572171723405,0.01061902562206831,0.008677367133105338,0.01123204644996985,0.012710143778641454,0.014346702648643392,0.012721647293170402,0.028213587877671926,0.01319152759093901,0.01316679804170202,0.011844312057279175,0.014923025032266862,0.012175195399665419,0.011248475474634555,0.013675725001925152,0.01928799048756431,0.011747207092328188,0.015775735533260796,0.016157243237370125,0.020388068831228855,0.01334751834964409,0.013990909864664626,0.016454477893485992,0.014357071663974442,0.01437914557412235,0.01731775959559014,0.02250293154421844,0.017860405605023544,0.015183302321126675,0.015393764313758851,0.0132942507928393,0.016089299665667703,0.017260286786116096,0.014067449971449887,0.01713073874075352,0.0225239375037674,0.016693671601151382,0.015514312710775887
PL52 - Opolskie,0.007806537224769573,0.009287438573684206,0.008609728611772751,0.007653737667950224,0.006712606741857819,0.010474988224536215,0.0,0.022254746156545813,0.009536934091715752,0.009747172071786043,0.0073430899554616635,0.013226876663005793,0.0076852031478597494,0.028723257552886836,0.013648626141625523,0.008719072187384968,0.008932437665829959,0.009949407489302346,0.009852321759314789,0.011247699087408844,0.029411979581690825,0.014023823219634394,0.010013425484832299,0.012637611962460247,0.015179812420510651,0.011047025844221164,0.007719644036587025,0.011347669111066038,0.018452652047206083,0.009804643354476691,0.016142277463934644,0.01354051845680851,0.015477173850581267,0.012231244019132382,0.010012481077495196,0.013781287453748898,0.011241175822152446,0.011302936318484558,0.014362740531074062,0.01964242072967964,0.01318976910529501,0.01403733969678451,0.014838795405084978,0.012629160203729931,0.012886921671385608,0.015072914206802063,0.013669005208728085,0.0144102591828696,0.021942861668058332,0.013029455998528837,0.013657474916443205
PL61 - Kujawsko-Pomorskie,0.02328406828239822,0.025021184022821295,0.020682086891238554,0.018901402265637808,0.0207211273495193,0.021510733849525943,0.022254746156545813,0.0,0.023987357492346508,0.01947932294385859,0.021752587079987028,0.02450959815919234,0.021597030756961986,0.02536280981062593,0.020970582731173183,0.02034773732729064,0.023385930433158668,0.025375681381795138,0.020422436209589827,0.022233772995902384,0.02438205388662597,0.02253936686057833,0.0228539104692588,0.022816210545518023,0.025396169137529328,0.02390508125399074,0.020982744738610965,0.023209046053249978,0.0236255683084956,0.021876228480938037,0.025740655118388297,0.027976977681261592,0.02806561577250704,0.02549310854042259,0.02523547232640403,0.025745376080549633,0.026234327338507307,0.025769454203274207,0.02603085754104985,0.03225081936424745,0.02618713475472372,0.025676642240919728,0.026630696654780857,0.02633892851645208,0.02604535960680706,0.027508010353393137,0.027151055577097443,0.026005793245949343,0.030650569636544573,0.026824102862120062,0.025522228164172035
PL62 - Warmińsko-Mazurskie,0.004970090809258589,0.005873640981622577,0.010093788752830702,0.008629241794982215,0.004961313343396992,0.012318974418836514,0.009536934091715752,0.023987357492346508,0.0,0.009818911272703408,0.010552600703363672,0.011980782532794613,0.0070203988985645584,0.028590674566977226,0.014141689724112387,0.009521309589950564,0.009273443383095626,0.0074645706021113116,0.009094314707555175,0.009937784623259248,0.03153159940159521,0.011702572597995073,0.009547224422341651,0.010964163155068696,0.012434422883408763,0.008209806693968534,0.007836437055900054,0.011073832052469538,0.015039723951635657,0.009086322918656173,0.020473617441567078,0.015024638003723745,0.019653996024719365,0.016039584193390417,0.011801485414070377,0.015956515185014133,0.014044197949046723,0.015959357310467562,0.0174750659047242,0.01828295549733043,0.012967430502131762,0.0174274077955897,0.015254691548573956,0.01574366331183841,0.013837987813148274,0.01774202565876275,0.013819157645272731,0.017642660393609424,0.02074730010708547,0.011839978379972423,0.016919137290715456
PL63 - Pomorskie,0.009715897691027547,0.011504581253100256,0.010063232207796344,0.009301725191385207,0.008292608958247986,0.010890154311714383,0.009747172071786043,0.01947932294385859,0.009818911272703408,0.0,0.01049776895186021,0.013455917667334755,0.010107732331014722,0.028426333562975196,0.013667716830979088,0.009367788896112382,0.009635689834537222,0.010103717259326067,0.009500285093290059,0.01048424810176224,0.03063660382145002,0.01277979846164782,0.01044852994377299,0.012898551090742772,0.01443847862295234,0.011219664537890424,0.009332333422368418,0.010590044639450975,0.01755878801750129,0.010342969501007677,0.015936072659496484,0.014533672785973534,0.018245943329468037,0.014453663770996331,0.011677432581643393,0.011976946336821509,0.012113356563269943,0.011753827650061742,0.015122249397148298,0.021155119701758627,0.015252200996843943,0.013612004880409789,0.014189489366094148,0.013160636704590414,0.013353470663131469,0.016564621136784922,0.01288286876611596,0.013158599270754766,0.022302409520835273,0.011981813863491656,0.014858378902310518
