,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,0.10757320423338386,0.13461728395061728,0.16666666666666666,0.10627513815767961,0.38461538461538464,0.1016156462585034,1.3256172839506173,0.08771296234611838,0.25846234584098665,0.09316770186335403,0.2631172839506173,0.06709415944925606,0.9506172839506173,0.4506172839506173,0.16122967479674796,0.1424742411584517,0.14611708984922372,0.1574468085106383,0.23633156966490299,2.0,0.46747967479674796,0.27619047619047615,0.46747967479674796,0.4791666666666667,0.29449838187702265,0.12721172589593643,0.21747967479674796,1.0,0.13910424401252094,0.24235859836221674,0.15570175438596492,0.22272039757994813,0.16296839660125922,0.14570175438596492,0.2362346872985171,0.15189947301714363,0.2,0.1875,0.5791666666666666,0.15570175438596492,0.2074468085106383,0.18561187916026625,0.15219605762873442,0.15100691870521374,0.14803891913692277,0.21826883062838118,0.25156445556946183,0.9863445378151261,0.15570175438596492,0.1574468085106383
PL22 - Śląskie,0.10757320423338386,0.0,0.16764354201917653,0.13689670726206585,0.10128988736482758,0.3548454252107838,0.1473001462289964,1.3586435420191765,0.07119741100323625,0.27413516235268504,0.12391754819315667,0.29614354201917653,0.1224558940167826,0.9836435420191766,0.48364354201917653,0.1511968085106383,0.19530652925360123,0.18817441515455724,0.1903381209125407,0.26935782773346223,1.9866141732283464,0.4574468085106383,0.2882882882882883,0.4574468085106383,0.4920876445526476,0.31017119838872104,0.16800760281313334,0.2074468085106383,0.9762076423936554,0.18545271202160477,0.2002135567749035,0.201446361677201,0.20330082283805734,0.19974764750945298,0.19772768231778173,0.22260810350697993,0.2040552402801886,0.20552799433026223,0.20354779631046024,0.5920876445526476,0.20552799433026223,0.2011156397374022,0.20348717800373162,0.20250684629400845,0.1991177379200058,0.1994055453506704,0.1965994229016908,0.23793787177792466,0.9715846994535519,0.20552799433026223,0.2035418970114936
PL41 - Wielkopolskie,0.13461728395061728,0.16764354201917653,0.0,0.16060606060606059,0.184,0.3785547785547786,0.09566326530612244,1.191,0.184,0.187984496124031,0.09523809523809523,0.17095437140394137,0.184,0.8160000000000001,0.316,0.1281340782122905,0.16316666666666665,0.184,0.184,0.10382513661202186,1.937984496124031,0.4194312796208531,0.2427409988385598,0.4194312796208531,0.4732142857142857,0.19047619047619047,0.184,0.17321428571428574,0.967479674796748,0.11620338983050847,0.19266556002096805,0.10382513661202186,0.17302735923869944,0.11492000142536435,0.10112126245847176,0.2437001594896332,0.14285714285714285,0.19393939393939394,0.18154761904761907,0.5732142857142857,0.14285714285714285,0.2149122807017544,0.1935483870967742,0.1335583614618494,0.12222222222222222,0.13882532418001525,0.1685757922871325,0.2590299277605779,0.9899749373433584,0.1263076923076923,0.184
PL42 - Zachodniopomorskie,0.16666666666666666,0.13689670726206585,0.16060606060606059,0.0,0.16666666666666666,0.21794871794871798,0.16666666666666666,1.2797619047619047,0.16666666666666666,0.25,0.08203125,0.21726190476190477,0.14666666666666667,0.9047619047619048,0.40476190476190477,0.1768008474576271,0.1206896551724138,0.16666666666666666,0.1726027397260274,0.19047619047619047,2.0,0.4830508474576271,0.27715355805243447,0.4830508474576271,0.46153846153846156,0.23163841807909602,0.16666666666666666,0.2330508474576271,1.0,0.16338259441707717,0.2648305084745763,0.13924050632911392,0.24519230769230768,0.17853956926213838,0.1212121212121212,0.2513906185139062,0.15486725663716813,0.2,0.16987179487179488,0.5615384615384615,0.16666666666666666,0.2226027397260274,0.18889416231608924,0.15025528811086797,0.1222222222222222,0.16352201257861634,0.24074074074074073,0.26672038678485094,0.9466666666666667,0.16666666666666666,0.1726027397260274
PL43 - Lubuskie,0.10627513815767961,0.10128988736482758,0.184,0.16666666666666666,0.0,0.38461538461538464,0.12244897959183673,0.5,0.09048027444253859,0.2972972972972973,0.09800120434833134,0.1348148148148148,0.11320754716981132,0.8,0.3333333333333333,0.19375,0.1693901854087759,0.1622580713097319,0.2,0.15888626188440064,2.0,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.14209125896830802,0.25,1.0,0.171875,0.2648305084745763,0.17553001783237568,0.24519230769230768,0.19548872180451127,0.1718113384729564,0.2787878787878788,0.17813889643536326,0.2,0.20833333333333334,0.6,0.1796116504854369,0.25,0.20930232558139536,0.17659050244918312,0.17320139407518048,0.17647058823529413,0.24074074074074073,0.29411764705882354,0.9791666666666666,0.1796116504854369,0.2
PL51 - Dolnośląskie,0.38461538461538464,0.3548454252107838,0.3785547785547786,0.21794871794871798,0.38461538461538464,0.0,0.38461538461538464,1.2408536585365852,0.38461538461538464,0.38461538461538464,0.2914476827520306,0.34687953555878087,0.3646153846153846,0.8658536585365854,0.36585365853658536,0.28667724028548774,0.317948717948718,0.38461538461538464,0.38461538461538464,0.38461538461538464,1.9545454545454546,0.4638157894736842,0.38461538461538464,0.4638157894736842,0.4722222222222222,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.8859649122807017,0.38133131236579515,0.36426140231449966,0.3411371237458194,0.35721812434141204,0.35200668896321075,0.33916083916083917,0.36201651455888745,0.3728159745858861,0.18461538461538463,0.3375565610859729,0.5722222222222222,0.38461538461538464,0.32992788461538464,0.3723454459650779,0.368204006059586,0.3401709401709402,0.37899740708729474,0.362970362970363,0.3599240265906933,0.9893048128342246,0.38461538461538464,0.35734265734265735
PL52 - Opolskie,0.1016156462585034,0.1473001462289964,0.09566326530612244,0.16666666666666666,0.12244897959183673,0.38461538461538464,0.0,1.2824074074074074,0.12743990434173091,0.22376788553259142,0.09316770186335403,0.2199074074074074,0.09259259259259259,0.9074074074074074,0.40740740740740744,0.1090042372881356,0.12244897959183673,0.12244897959183673,0.14400000000000002,0.1931216931216931,1.96,0.4152542372881356,0.21839080459770113,0.4152542372881356,0.37755102040816324,0.2598039215686274,0.12244897959183673,0.1652542372881356,0.9764705882352941,0.09834558823529412,0.16827253371185238,0.08923569427771108,0.16279069767441862,0.11074295909264686,0.0781057268722467,0.2227878787878788,0.14285714285714285,0.2,0.11251709986320109,0.4775510204081632,0.11494252873563218,0.194,0.1935483870967742,0.11264608076009502,0.10434782608695652,0.1568627450980392,0.1354775828460039,0.23811764705882354,0.9914529914529915,0.0881057268722467,0.14400000000000002
PL61 - Kujawsko-Pomorskie,1.3256172839506173,1.3586435420191765,1.191,1.2797619047619047,0.5,1.2408536585365852,1.2824074074074074,0.0,1.375,1.2797619047619047,1.245967741935484,1.0625,1.375,0.5777777777777778,0.875,1.3191340782122905,1.3541666666666667,1.375,1.375,1.0892857142857144,1.5,1.375,1.375,1.375,1.375,1.375,1.375,1.3273809523809523,1.2321428571428572,1.3072033898305084,1.2498898678414097,1.2861111111111112,1.2545180722891567,1.2673076923076922,1.2897727272727273,1.2887931034482758,1.2678571428571428,1.305232558139535,1.175,1.375,1.3194444444444444,1.279040404040404,1.3100649350649352,1.2844202898550725,1.2995283018867925,1.2808823529411764,1.3279411764705882,1.2831632653061225,1.2965686274509804,1.3173076923076923,1.375
PL62 - Warmińsko-Mazurskie,0.08771296234611838,0.07119741100323625,0.184,0.16666666666666666,0.09048027444253859,0.38461538461538464,0.12743990434173091,1.375,0.0,0.2972972972972973,0.12903225806451613,0.3125,0.10259565212951711,1.0,0.5,0.19375,0.17752393185919196,0.181166780549964,0.2,0.2857142857142857,2.0,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.1622614165966767,0.25,1.0,0.1741539347132612,0.2648305084745763,0.1907514450867052,0.24519230769230768,0.19548872180451127,0.18075144508670518,0.2787878787878788,0.1869491637178839,0.2,0.20833333333333334,0.6,0.1907514450867052,0.25,0.1935483870967742,0.1872457483294747,0.186056609405954,0.18308860983766304,0.24074074074074073,0.29411764705882354,0.9841269841269842,0.1907514450867052,0.2
PL63 - Pomorskie,0.25846234584098665,0.27413516235268504,0.187984496124031,0.25,0.2972972972972973,0.38461538461538464,0.22376788553259142,1.2797619047619047,0.2972972972972973,0.0,0.2496782496782497,0.22959183673469388,0.2972972972972973,0.9047619047619048,0.40476190476190477,0.23722662591920546,0.2620031796502385,0.26503923278116825,0.2972972972972973,0.25,1.75,0.37755102040816324,0.3260340632603406,0.37755102040816324,0.43548387096774194,0.25,0.2972972972972973,0.2972972972972973,0.9375,0.241869918699187,0.24631198995605777,0.21665213600697475,0.22667378917378916,0.15883575883575884,0.2009670220679395,0.2524720893141946,0.20982142857142858,0.20886192314763746,0.1815068493150685,0.5354838709677419,0.2972972972972973,0.2236842105263158,0.23399999999999999,0.18814432989690721,0.21825396825396826,0.2119314436387607,0.22911547911547914,0.2678018575851393,0.9915074309978769,0.24015444015444018,0.1736842105263158
